id	V-score	VL-score	db	name
K00093	0.94	1.973127854	KEGG	methanol dehydrogenase [EC:1.1.1.244]
K00094	2.16	2.334453751	KEGG	galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251]
K00097	0.05	0.698970004	KEGG	4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]
K00099	0.03	0.477121255	KEGG	1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]
K00100	0.84	1.924279286	KEGG	butanol dehydrogenase [EC:1.1.1.-]
K00101	1.21	2.08278537	KEGG	L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]
K00102	0.31	1.491361694	KEGG	D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]
K00103	0.41	1.612783857	KEGG	L-gulonolactone oxidase [EC:1.1.3.8]
K00104	0.45	1.653212514	KEGG	glycolate dehydrogenase FAD-linked subunit [EC:1.1.99.14]
K00108	0.75	1.875061263	KEGG	choline dehydrogenase [EC:1.1.99.1]
K00109	0.44	1.643452676	KEGG	2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]
K00114	0.61	1.785329835	KEGG	alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]
K00116	0.15	1.176091259	KEGG	malate dehydrogenase (quinone) [EC:1.1.5.4]
K00117	0.26	1.414973348	KEGG	quinoprotein glucose dehydrogenase [EC:1.1.5.2]
K00121	2.77	2.442479769	KEGG	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]
K00122	1.71	2.23299611	KEGG	formate dehydrogenase [EC:1.17.1.9]
K00123	0.29	1.462397998	KEGG	formate dehydrogenase major subunit [EC:1.17.1.9]
K00124	0.86	1.934498451	KEGG	formate dehydrogenase iron-sulfur subunit
K00125	0.08	0.903089987	KEGG	formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6]
K00127	0.03	0.477121255	KEGG	formate dehydrogenase subunit gamma
K00128	1.96	2.292256071	KEGG	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
K00129	1.49	2.173186268	KEGG	aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]
K00130	1.92	2.283301229	KEGG	betaine-aldehyde dehydrogenase [EC:1.2.1.8]
K00131	1.81	2.257678575	KEGG	glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]
K00132	1.01	2.004321374	KEGG	acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]
K00133	0.7	1.84509804	KEGG	aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]
K00134	0.9	1.954242509	KEGG	glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]
K00135	1.73	2.238046103	KEGG	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
K00137	1.6	2.204119983	KEGG	aminobutyraldehyde dehydrogenase [EC:1.2.1.19]
K00138	1.47	2.167317335	KEGG	aldehyde dehydrogenase [EC:1.2.1.-]
K00140	1.43	2.155336037	KEGG	malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]
K00141	1.89	2.276461804	KEGG	benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28]
K00143	0.88	1.944482672	KEGG	L-2-aminoadipate reductase [EC:1.2.1.95]
K00145	0.25	1.397940009	KEGG	N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]
K00146	1.79	2.252853031	KEGG	phenylacetaldehyde dehydrogenase [EC:1.2.1.39]
K00147	0.67	1.826074803	KEGG	glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]
K00148	2.25	2.352182518	KEGG	glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]
K00150	1.07	2.029383778	KEGG	glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) [EC:1.2.1.59]
K00151	1.65	2.217483944	KEGG	5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]
K00152	1.39	2.1430148	KEGG	salicylaldehyde dehydrogenase [EC:1.2.1.65]
K00156	4.88	2.688419822	KEGG	pyruvate dehydrogenase (quinone) [EC:1.2.5.1]
K00158	4.85	2.685741739	KEGG	pyruvate oxidase [EC:1.2.3.3]
K00161	4	2.602059991	KEGG	pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1]
K00162	3.45	2.537819095	KEGG	pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]
K00163	1.63	2.212187604	KEGG	pyruvate dehydrogenase E1 component [EC:1.2.4.1]
K00166	2.92	2.465382851	KEGG	2-oxoisovalerate dehydrogenase E1 component subunit alpha [EC:1.2.4.4]
K00167	1.72	2.235528447	KEGG	2-oxoisovalerate dehydrogenase E1 component subunit beta [EC:1.2.4.4]
K00169	0.24	1.380211242	KEGG	pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]
K00170	0.26	1.414973348	KEGG	pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]
K00171	1.3	2.113943352	KEGG	pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]
K00172	0.78	1.892094603	KEGG	pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]
K00174	0.25	1.397940009	KEGG	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]
K00175	0.29	1.462397998	KEGG	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]
K00176	0.69	1.838849091	KEGG	2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]
K00177	0.23	1.361727836	KEGG	2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]
K00186	0.24	1.380211242	KEGG	2-oxoisovalerate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.7]
K00187	0.37	1.568201724	KEGG	2-oxoisovalerate ferredoxin oxidoreductase beta subunit [EC:1.2.7.7]
K00188	0.63	1.799340549	KEGG	2-oxoisovalerate ferredoxin oxidoreductase delta subunit [EC:1.2.7.7]
K00189	0.15	1.176091259	KEGG	2-oxoisovalerate/pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.7 1.2.7.1]
K00192	0.07	0.84509804	KEGG	anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha [EC:1.2.7.4]
K00196	1.84	2.264817823	KEGG	anaerobic carbon-monoxide dehydrogenase iron sulfur subunit
K00198	0.04	0.602059991	KEGG	anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]
K00200	0.1	1	KEGG	formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12]
K00201	0.05	0.698970004	KEGG	formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12]
K00202	0.03	0.477121255	KEGG	formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12]
K00203	0.01	0	KEGG	formylmethanofuran dehydrogenase subunit D [EC:1.2.7.12]
K00204	0.84	1.924279286	KEGG	4Fe-4S ferredoxin
K00205	0.79	1.897627091	KEGG	4Fe-4S ferredoxin
K00206	1.62	2.209515015	KEGG	phosphonoacetaldehyde dehydrogenase [EC:1.2.1.-]
K00208	5.15	2.711807229	KEGG	enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]
K00209	0.02	0.301029996	KEGG	enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]
K00211	0.06	0.77815125	KEGG	prephenate dehydrogenase (NADP+) [EC:1.3.1.13]
K00213	0.09	0.954242509	KEGG	7-dehydrocholesterol reductase [EC:1.3.1.21]
K00214	0.93	1.968482949	KEGG	biliverdin reductase [EC:1.3.1.24]
K00215	0.19	1.278753601	KEGG	4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]
K00217	0.98	1.991226076	KEGG	maleylacetate reductase [EC:1.3.1.32]
K00218	5.58	2.746634199	KEGG	protochlorophyllide reductase [EC:1.3.1.33]
K00220	0.13	1.113943352	KEGG	cyclohexadieny/prephenate dehydrogenase [EC:1.3.1.43 1.3.1.12]
K00222	0.09	0.954242509	KEGG	Delta14-sterol reductase [EC:1.3.1.70]
K00223	0.09	0.954242509	KEGG	Delta24(24(1))-sterol reductase [EC:1.3.1.71]
K00227	2.42	2.383815366	KEGG	Delta7-sterol 5-desaturase [EC:1.14.19.20]
K00228	0.07	0.84509804	KEGG	coproporphyrinogen III oxidase [EC:1.3.3.3]
K00230	0.26	1.414973348	KEGG	menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3]
K00231	5.74	2.758911892	KEGG	protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15]
K00232	0.78	1.892094603	KEGG	acyl-CoA oxidase [EC:1.3.3.6]
K00239	0.48	1.681241237	KEGG	succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]
K00240	0.21	1.322219295	KEGG	succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]
K00241	0.08	0.903089987	KEGG	succinate dehydrogenase cytochrome b subunit
K00242	0.01	0	KEGG	succinate dehydrogenase membrane anchor subunit
K00244	0.32	1.505149978	KEGG	succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]
K00245	0.27	1.431363764	KEGG	succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]
K00247	0.01	0	KEGG	succinate dehydrogenase subunit D
K00248	1.72	2.235528447	KEGG	butyryl-CoA dehydrogenase [EC:1.3.8.1]
K00249	1.71	2.23299611	KEGG	acyl-CoA dehydrogenase [EC:1.3.8.7]
K00252	1.63	2.212187604	KEGG	glutaryl-CoA dehydrogenase [EC:1.3.8.6]
K00253	1.64	2.214843848	KEGG	isovaleryl-CoA dehydrogenase [EC:1.3.8.4]
K00255	1.59	2.201397124	KEGG	long-chain-acyl-CoA dehydrogenase [EC:1.3.8.8]
K00259	0.95	1.977723605	KEGG	alanine dehydrogenase [EC:1.4.1.1]
K00260	0.72	1.857332496	KEGG	glutamate dehydrogenase [EC:1.4.1.2]
K00261	0.71	1.851258349	KEGG	glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]
K00262	0.76	1.880813592	KEGG	glutamate dehydrogenase (NADP+) [EC:1.4.1.4]
K00263	0.79	1.897627091	KEGG	leucine dehydrogenase [EC:1.4.1.9]
K00265	0.21	1.322219295	KEGG	glutamate synthase (NADPH) large chain [EC:1.4.1.13]
K00266	2.8	2.447158031	KEGG	glutamate synthase (NADPH) small chain [EC:1.4.1.13]
