Protein	Contig	Genome	Function	KEGG_hmm_id	FOAM_hmm_id	Pfam_hmm_id	dbCAN_hmm_id	METABOLIC_hmm_id	CAMPER_hmm_id	PHROG_hmm_id	KEGG_score	FOAM_score	Pfam_score	dbCAN_score	METABOLIC_score	CAMPER_score	PHROG_score	KEGG_coverage	FOAM_coverage	Pfam_coverage	dbCAN_coverage	METABOLIC_coverage	CAMPER_coverage	PHROG_coverage	KEGG_V-score	Pfam_V-score	PHROG_V-score	Viral_Flanking_Genes_Left_Dist	Viral_Flanking_Genes_Right_Dist	MGE_Flanking_Genes_Left_Dist	MGE_Flanking_Genes_Right_Dist	Viral_Origin_Confidence	KEGG_Description	FOAM_Description	Pfam_Description	dbCAN_Description	METABOLIC_Description	CAMPER_Description	PHROG_Description	top_hit_hmm_id	top_hit_description	top_hit_db	FILTER_MATCH_ALL	FILTER_REMOVE_TOKEN_ALL	FILTER_EXCEPTION_ALL	FILTER_EXCEPTION_TOKEN_ALL	step5_in_merged_region	protein_in_nonviral_region	nonviral_region_pos
vRhyme_unbinned_107__MGr3G3H3I_000000207831|provirus_30197_56997_8	vRhyme_unbinned_107__MGr3G3H3I_000000207831|provirus_30197_56997	vRhyme_unbinned_107__MGr3G3H3I_000000207831|provirus_30197_56997	Iron reduction			PF01436.28		DFE_0451					67.05201		66.397675					1.0		0.5664335664335665				3.47		2505.0	4230.0	NaN	NaN	medium			NHL repeat		Iron reduction			PF01436	NHL repeat	Pfam	false		false		true	false	
vRhyme_unbinned_110__MGr3G3H3I_000000249059|provirus_16350_47090_2	vRhyme_unbinned_110__MGr3G3H3I_000000249059|provirus_16350_47090	vRhyme_unbinned_110__MGr3G3H3I_000000249059|provirus_16350_47090	iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]	K04487	HMMsoil86550	PF00266.26				phrog_12787	486.184479	415.759857	241.258102				356.25882	0.7123287671232876	0.9781420765027322	0.9730458221024259				0.9560723514211886	7.63	8.55	6.49	NaN	1134.0	NaN	NaN	low	iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]	iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]	Aminotransferase class-V				""	K04487	iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]	KEGG	false		false		false	true	
vRhyme_unbinned_110__MGr3G3H3I_000000249059|provirus_16350_47090_14	vRhyme_unbinned_110__MGr3G3H3I_000000249059|provirus_16350_47090	vRhyme_unbinned_110__MGr3G3H3I_000000249059|provirus_16350_47090	Iron reduction			PF01436.28		DFE_0451					110.766052		45.095135					1.0		0.5804195804195804				3.47		1824.0	NaN	NaN	NaN	low			NHL repeat		Iron reduction			PF01436	NHL repeat	Pfam	false		false		false	true	
vRhyme_unbinned_11__MGr3G3H3I_000000030488_7	vRhyme_unbinned_11__MGr3G3H3I_000000030488	vRhyme_unbinned_11__MGr3G3H3I_000000030488	nirK; nitrite reductase (NO-forming) [EC:1.7.2.1]		HMMsoil127075	PF10282.16						84.655975	34.73027						0.3155339805825243	0.375						3.33		6252.0	NaN	NaN	NaN	low		nirK; nitrite reductase (NO-forming) [EC:1.7.2.1]	Lactonase, 7-bladed beta-propeller					HMMsoil127075	nirK; nitrite reductase (NO-forming) [EC:1.7.2.1]	FOAM	false		false		false	true	
vRhyme_unbinned_20__MGr3G3H3I_000000054425_2	vRhyme_unbinned_20__MGr3G3H3I_000000054425	vRhyme_unbinned_20__MGr3G3H3I_000000054425	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]	K18298	HMMsoil104173	PF25917.1				phrog_13642	476.872925	30.116289	66.682632				116.622269	0.8574660633484162	0.5616438356164384	0.9041095890410958				0.6971677559912854				NaN	2211.0	NaN	NaN	low	mexE; membrane fusion protein, multidrug efflux system	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]	RND MFP, barrel-sandwich hybrid domain				""	K18298	mexE; membrane fusion protein, multidrug efflux system	KEGG	false		false		false	true	
vRhyme_unbinned_28__MGr3G3H3I_000000090299_18	vRhyme_unbinned_28__MGr3G3H3I_000000090299	vRhyme_unbinned_28__MGr3G3H3I_000000090299	acuB; acetoin utilization protein AcuB	K04767	HMMsoil25269	PF00571.34					122.150139	113.760544	109.729401					0.3055555555555556	0.9814814814814815	0.9824561403508771					1.36	1.73		2811.0	NaN	3078.0	NaN	low	acuB; acetoin utilization protein AcuB	ptsN; nitrogen PTS system EIIA component [EC:2.7.1.-]	CBS domain					K04767	acuB; acetoin utilization protein AcuB	KEGG	false		false		false	true	
vRhyme_unbinned_30__MGr3G3H3I_000000102693_23	vRhyme_unbinned_30__MGr3G3H3I_000000102693	vRhyme_unbinned_30__MGr3G3H3I_000000102693	nirK; nitrite reductase (NO-forming) [EC:1.7.2.1]; nirS; nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1] [EC:1.7.99.1]		HMMsoil126565							24.416376							0.33170731707317075									5301.0	NaN	1815.0	11517.0	high		nirK; nitrite reductase (NO-forming) [EC:1.7.2.1]; nirS; nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1] [EC:1.7.99.1]						HMMsoil126565	nirK; nitrite reductase (NO-forming) [EC:1.7.2.1]; nirS; nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1] [EC:1.7.99.1]	FOAM	false		false		false	true	
vRhyme_unbinned_31__MGr3G3H3I_000000103998_23	vRhyme_unbinned_31__MGr3G3H3I_000000103998	vRhyme_unbinned_31__MGr3G3H3I_000000103998	NADH dehydrogenase ubiquinone Fe-S protein 4		HMMsoil4371	PF04800.18						114.846161	109.088951						1.0	0.9791666666666666						0.52		5949.0	NaN	NaN	NaN	low		NDUFS4; NADH dehydrogenase (ubiquinone) Fe-S protein 4; Response to osmotic stress	NADH dehydrogenase ubiquinone Fe-S protein 4					HMMsoil4371	NDUFS4; NADH dehydrogenase (ubiquinone) Fe-S protein 4; Response to osmotic stress	FOAM	false		false		true	false	
vRhyme_unbinned_31__MGr3G3H3I_000000103998_26	vRhyme_unbinned_31__MGr3G3H3I_000000103998	vRhyme_unbinned_31__MGr3G3H3I_000000103998	rocD, OAT; ornithine--oxo-acid transaminase [EC:2.6.1.13]	K09251	HMMsoil34373	PF00202.28				phrog_2736	427.51001	501.223633	299.811218				107.9188	0.7481884057971014	0.9968051118210862	0.967741935483871				0.8540540540540541	4.42	4.46	1.22	549.0	NaN	NaN	NaN	low	patA; putrescine aminotransferase [EC:2.6.1.82]	rocD, OAT; ornithine--oxo-acid transaminase [EC:2.6.1.13]	Aminotransferase class-III				aminotransferase	HMMsoil34373	rocD, OAT; ornithine--oxo-acid transaminase [EC:2.6.1.13]	FOAM	false		false		false	true	
vRhyme_unbinned_44__MGr3G3H3I_000000146975_17	vRhyme_unbinned_44__MGr3G3H3I_000000146975	vRhyme_unbinned_44__MGr3G3H3I_000000146975	rfk; riboflavin kinase, archaea type [EC:2.7.1.161]	K07732		PF01982.23					55.44556		48.857834					0.39147286821705424		0.8429752066115702					0.21	0.11		9675.0	NaN	NaN	9777.0	low	rfk; riboflavin kinase, archaea type [EC:2.7.1.161]		Domain of unknown function DUF120					K07732	rfk; riboflavin kinase, archaea type [EC:2.7.1.161]	KEGG	false		false		false	true	
vRhyme_unbinned_72__MGr3G3H3I_000000211191_24	vRhyme_unbinned_72__MGr3G3H3I_000000211191	vRhyme_unbinned_72__MGr3G3H3I_000000211191	frdB; fumarate reductase iron-sulfur subunit [EC:1.3.5.4]		HMMsoil84266							25.067305							0.6923076923076923									1701.0	NaN	NaN	NaN	high		frdB; fumarate reductase iron-sulfur subunit [EC:1.3.5.4]						HMMsoil84266	frdB; fumarate reductase iron-sulfur subunit [EC:1.3.5.4]	FOAM	false		false		false	true	
vRhyme_unbinned_88__MGr3G3H3I_000000288833_83	vRhyme_unbinned_88__MGr3G3H3I_000000288833	vRhyme_unbinned_88__MGr3G3H3I_000000288833	gumL; pyruvyltransferase	K13665		PF04230.20					181.40802		41.387962					0.5366492146596858		0.6					2.92	4.96		864.0	2757.0	10377.0	6729.0	high	gumL; pyruvyltransferase		Polysaccharide pyruvyl transferase					K13665	gumL; pyruvyltransferase	KEGG	false		false		true	false	
vRhyme_unbinned_88__MGr3G3H3I_000000288833_135	vRhyme_unbinned_88__MGr3G3H3I_000000288833	vRhyme_unbinned_88__MGr3G3H3I_000000288833	livF; branched-chain amino acid transport system ATP-binding protein		HMMsoil125912							15.004804							0.4927536231884058									1131.0	1095.0	NaN	1860.0	high		livF; branched-chain amino acid transport system ATP-binding protein						HMMsoil125912	livF; branched-chain amino acid transport system ATP-binding protein	FOAM	false		false		true	false	
vRhyme_unbinned_98__MGr3G3H3I_000000054290|provirus_3_6002_10	vRhyme_unbinned_98__MGr3G3H3I_000000054290|provirus_3_6002	vRhyme_unbinned_98__MGr3G3H3I_000000054290|provirus_3_6002	alaA; alanine-synthesizing transaminase [EC:2.6.1.66] [EC:2.6.1.2]; K10907; aminotransferase [EC:2.6.1.-]		HMMsoil40965	PF01381.29				phrog_2104		32.191296	26.133543				31.773624		0.8545454545454545	0.7636363636363637				0.4174757281553398		10.0	4.5	1860.0	NaN	NaN	NaN	high		alaA; alanine-synthesizing transaminase [EC:2.6.1.66] [EC:2.6.1.2]; K10907; aminotransferase [EC:2.6.1.-]	Helix-turn-helix				""	HMMsoil40965	alaA; alanine-synthesizing transaminase [EC:2.6.1.66] [EC:2.6.1.2]; K10907; aminotransferase [EC:2.6.1.-]	FOAM	false		false		true	false	
vRhyme_unbinned_99__MGr3G3H3I_000000077756|provirus_33272_71474_15	vRhyme_unbinned_99__MGr3G3H3I_000000077756|provirus_33272_71474	vRhyme_unbinned_99__MGr3G3H3I_000000077756|provirus_33272_71474	hdrA2; heterodisulfide reductase subunit A2 [EC:1.8.7.3] [EC:1.8.98.4] [EC:1.8.98.5] [EC:1.8.98.6]		HMMsoil11677	PF09903.15						16.330936	263.921234						0.4083969465648855	0.9728682170542635						0.39		3189.0	1311.0	NaN	1002.0	low		hdrA2; heterodisulfide reductase subunit A2 [EC:1.8.7.3] [EC:1.8.98.4] [EC:1.8.98.5] [EC:1.8.98.6]	Uncharacterized protein conserved in bacteria (DUF2130)					PF09903	Uncharacterized protein conserved in bacteria (DUF2130)	Pfam	false		false		true	false	
