Protein	Contig	Genome	Classification	Function	Final AVG Probability	Final AVG Confidence Level
vRhyme_bin_1__BAr2D2E2F_000000011539_12	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_13	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_14	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_15	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_16	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_17	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_18	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_19	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_20	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	unclassified	""	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_21	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_22	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_23	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_24	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_25	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_26	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_27	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_28	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_29	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_30	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_31	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_32	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_33	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_34	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_1	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_2	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified		0.4601	high
vRhyme_bin_1__BAr2D2E2F_000000017828_3	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_4	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_5	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_6	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_7	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_8	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_9	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_10	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_11	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_12	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_13	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_14	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_15	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_16	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_17	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_18	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_19	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_20	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_21	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_22	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_23	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_24	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_25	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_26	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_27	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_28	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_29	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_30	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_31	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_32	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_33	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_34	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_35	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_36	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_37	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified	radA, sms; DNA repair protein RadA/Sms	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_38	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0482	low
vRhyme_bin_1__BAr2D2E2F_000000017828_39	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_40	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_41	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_42	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_43	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified	pyrophosphatase	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_44	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_45	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_46	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified	""	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_47	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_48	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_49	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_50	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000026327_1	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000026327_2	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000026327_3	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000026327_4	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000026327_5	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1	unclassified	""	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000026327_6	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000026327_7	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000026327_8	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000026327_9	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000026327_10	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000026327_11	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000026327_12	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000026327_13	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000026327_14	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000026327_15	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000026327_16	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000026327_17	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000026327_18	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1	unclassified	""	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000026327_19	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1	unclassified	E2.7.11.1; non-specific serine/threonine protein kinase [EC:2.7.11.1]	0.3603	high
vRhyme_bin_1__BAr2D2E2F_000000026327_20	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000026327_21	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000026327_22	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000026327_23	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000026327_24	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000026327_25	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000026327_26	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000026327_27	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000033052_1	vRhyme_bin_1__BAr2D2E2F_000000033052	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000033052_2	vRhyme_bin_1__BAr2D2E2F_000000033052	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000033052_3	vRhyme_bin_1__BAr2D2E2F_000000033052	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000033052_4	vRhyme_bin_1__BAr2D2E2F_000000033052	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000033052_5	vRhyme_bin_1__BAr2D2E2F_000000033052	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000033052_6	vRhyme_bin_1__BAr2D2E2F_000000033052	BAr2D2E2F_vRhyme_bin_1	unclassified	KTSC domain	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000033052_7	vRhyme_bin_1__BAr2D2E2F_000000033052	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000033052_8	vRhyme_bin_1__BAr2D2E2F_000000033052	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000033052_9	vRhyme_bin_1__BAr2D2E2F_000000033052	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000033052_10	vRhyme_bin_1__BAr2D2E2F_000000033052	BAr2D2E2F_vRhyme_bin_1	unclassified	endonuclease	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000033052_11	vRhyme_bin_1__BAr2D2E2F_000000033052	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000033052_12	vRhyme_bin_1__BAr2D2E2F_000000033052	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000033052_13	vRhyme_bin_1__BAr2D2E2F_000000033052	BAr2D2E2F_vRhyme_bin_1	unclassified	""	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000033052_14	vRhyme_bin_1__BAr2D2E2F_000000033052	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000033052_15	vRhyme_bin_1__BAr2D2E2F_000000033052	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000033052_16	vRhyme_bin_1__BAr2D2E2F_000000033052	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000033052_17	vRhyme_bin_1__BAr2D2E2F_000000033052	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
